"Player Name","Season","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Devin Singletary","2021","188","870","7","40","228","1","157"
"Devin Singletary","2020","156","687","2","38","269","0","104"
"Devin Singletary","2019","151","775","2","29","194","2","118"
"Mike Davis","2021","138","503","3","44","259","1","93"
"Mike Davis","2020","165","642","6","59","373","2","147"
"Mike Davis","2019","13","27","0","7","22","0","4"
"Mike Davis","2018","112","514","4","34","214","1","102"
"Mike Davis","2017","68","240","0","15","131","0","37"
"Mike Davis","2016","19","50","1","3","25","0","11"
"Mike Davis","2015","35","58","0","7","38","0","8"
"James Robinson","2021","164","767","8","31","222","0","142"
"James Robinson","2020","240","1070","7","49","344","3","201"
"Jk Dobbins","2021","0","0","0","0","0","0","0"
"Jk Dobbins","2020","134","805","9","18","120","0","150"
"Melvin Gordon","2021","203","918","8","28","213","2","166"
"Melvin Gordon","2020","215","986","9","32","158","1","165"
"Melvin Gordon","2019","162","612","8","42","296","1","138"
"Melvin Gordon","2018","175","885","10","50","490","4","225"
"Melvin Gordon","2017","284","1105","8","58","476","4","229"
"Melvin Gordon","2016","254","997","10","41","419","2","208"
"Melvin Gordon","2015","184","641","0","33","192","0","75"
"Jonathan Taylor","2021","332","1811","18","40","360","2","333"
"Jonathan Taylor","2020","232","1169","11","36","299","1","215"
"Alvin Kamara","2021","240","898","4","47","439","5","186"
"Alvin Kamara","2020","187","932","16","83","756","5","294"
"Alvin Kamara","2019","171","797","5","81","533","1","166"
"Alvin Kamara","2018","194","883","14","81","709","4","272"
"Alvin Kamara","2017","120","728","8","81","826","5","232"
"Damien Harris","2021","202","929","15","18","132","0","191"
"Damien Harris","2020","137","691","2","5","52","0","86"
"Damien Harris","2019","4","12","0","0","0","0","1"
"Cordarrelle Patterson","2021","153","618","6","52","548","5","181"
"Cordarrelle Patterson","2020","64","232","1","21","132","0","42"
"Cordarrelle Patterson","2019","17","103","0","11","83","0","18"
"Cordarrelle Patterson","2018","42","228","1","21","247","3","68"
"Cordarrelle Patterson","2017","13","121","2","31","309","0","54"
"Cordarrelle Patterson","2016","7","43","0","52","453","2","61"
"Cordarrelle Patterson","2015","2","15","0","2","10","0","0"
"Cordarrelle Patterson","2014","10","117","1","33","384","1","59"
"Cordarrelle Patterson","2013","12","158","3","45","469","4","103"
"Austin Ekeler","2021","206","911","12","70","647","8","273"
"Austin Ekeler","2020","116","530","1","54","403","2","111"
"Austin Ekeler","2019","132","557","3","92","993","8","216"
"Austin Ekeler","2018","106","554","3","39","404","3","129"
"Austin Ekeler","2017","47","260","2","27","279","3","79"
"Tony Pollard","2021","130","719","2","39","337","0","116"
"Tony Pollard","2020","101","435","4","28","193","1","92"
"Tony Pollard","2019","86","455","2","15","107","1","73"
"Clyde Edwardshelaire","2021","119","517","4","19","129","2","97"
"Clyde Edwardshelaire","2020","181","803","4","36","297","1","139"
"Najee Harris","2021","307","1200","7","74","467","3","226"
"Miles Sanders","2021","137","754","0","26","158","0","90"
"Miles Sanders","2020","164","867","6","28","197","0","141"
"Miles Sanders","2019","179","818","3","50","509","3","167"
"Christian Mccaffrey","2021","99","442","1","37","343","1","90"
"Christian Mccaffrey","2020","59","225","5","17","149","1","72"
"Christian Mccaffrey","2019","287","1387","15","116","1005","4","354"
"Christian Mccaffrey","2018","219","1098","7","107","867","6","279"
"Christian Mccaffrey","2017","117","435","2","80","651","5","148"
"Chase Edmonds","2021","116","592","2","43","311","0","100"
"Chase Edmonds","2020","97","448","1","53","402","4","114"
"Chase Edmonds","2019","60","303","4","12","105","1","70"
"Chase Edmonds","2018","60","208","2","20","103","0","42"
"Boston Scott","2021","87","373","7","13","83","0","85"
"Boston Scott","2020","80","374","1","25","212","1","70"
"Boston Scott","2019","61","245","5","24","204","0","72"
"Boston Scott","2018","0","0","0","0","0","0","0"
"Aj Dillon","2021","187","803","5","34","313","2","151"
"Aj Dillon","2020","46","242","2","2","21","0","38"
"Jd Mckissic","2021","48","212","2","43","397","2","84"
"Jd Mckissic","2020","85","365","1","80","589","2","110"
"Jd Mckissic","2019","38","205","0","34","233","1","49"
"Jd Mckissic","2018","3","8","0","0","0","0","0"
"Jd Mckissic","2017","46","187","1","34","266","2","62"
"Jd Mckissic","2016","1","2","0","2","16","0","1"
"Dalvin Cook","2021","249","1159","6","34","224","0","171"
"Dalvin Cook","2020","312","1557","16","44","361","1","293"
"Dalvin Cook","2019","250","1135","13","53","519","0","238"
"Dalvin Cook","2018","133","615","2","40","305","2","111"
"Dalvin Cook","2017","74","354","2","11","90","0","54"
"Mark Ingram","2021","160","554","2","27","162","0","81"
