"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG","Drafted"
"Nico Collins","WR",,"2","Houston Texans","6-4","215lbs","23","Michigan",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2878193.png?width=160","False"
"Rondale Moore","WR",,"2","Arizona Cardinals","5-7","180lbs","22","Purdue",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2968526.png?width=160","False"
"Devante Parker","WR",,"8","New England Patriots","6-3","219lbs","29","Louisville",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1851283.png?width=160","False"
"Adam Thielen","WR",,"9","Minnesota Vikings","6-2","200lbs","32","Minnesota State",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2059362.png?width=160","False"
"Elijah Moore","WR",,"2","New York Jets","5-10","178lbs","22","Ole Miss",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2963569.png?width=160","False"
"Terry Mclaurin","WR",,"4","Washington Commanders","6-0","210lbs","26","Ohio St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2139279.png?width=160","False"
"Mike Williams","WR",,"6","Los Angeles Chargers","6-4","218lbs","27","Clemson",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2082516.png?width=160","False"
"Michael Pittman","WR",,"3","Indianapolis Colts","6-4","223lbs","24","USC",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2240188.png?width=160","False"
"Gabe Davis","WR",,"3","Buffalo Bills","6-2","210lbs","23","UCF",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2804813.png?width=160","False"
"Robert Woods","WR",,"10","Tennessee Titans","6-0","195lbs","30","USC",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1754280.png?width=160","False"
"Josh Palmer","WR",,"2","Los Angeles Chargers","6-1","210lbs","22","Tennessee",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2867325.png?width=160","False"
"Darnell Mooney","WR",,"3","Chicago Bears","5-11","174lbs","24","Tulane",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2240651.png?width=160","False"
"Courtland Sutton","WR",,"5","Denver Broncos","6-4","216lbs","26","SMU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2218461.png?width=160","False"
"Christian Kirk","WR",,"5","Jacksonville Jaguars","5-11","200lbs","25","Texas A&amp;M",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2180820.png?width=160","False"
"Davante Adams","WR",,"9","Las Vegas Raiders","6-1","215lbs","29","Fresno St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1893167.png?width=160","False"
"Deebo Samuel","WR",,"4","San Francisco 49ers","6-0","215lbs","26","South Carolina",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2139735.png?width=160","False"
"Justin Jefferson","WR",,"3","Minnesota Vikings","6-1","195lbs","23","LSU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2871343.png?width=160","False"
"Diontae Johnson","WR",,"4","Pittsburgh Steelers","5-10","183lbs","26","Toledo",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2194164.png?width=160","False"
"Drake London","WR",,"","Atlanta Falcons","6-4","219lbs","21","USC",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3127902.png?width=160","False"
"Tyler Boyd","WR",,"7","Cincinnati Bengals","6-2","203lbs","27","Pittsburgh",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2071582.png?width=160","False"
"Chris Olave","WR",,"","New Orleans Saints","6-0","187lbs","22","Ohio St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2963666.png?width=160","False"
"Hunter Renfrow","WR",,"4","Las Vegas Raiders","5-10","185lbs","26","Clemson",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2144726.png?width=160","False"
"Garrett Wilson","WR",,"","New York Jets","6-0","183lbs","22","Ohio St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3123864.png?width=160","False"
"Marquise Brown","WR",,"4","Arizona Cardinals","5-9","180lbs","25","Oklahoma",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2804128.png?width=160","False"
"Chris Godwin","WR",,"6","Tampa Bay Buccaneers","6-1","209lbs","26","Penn St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2818150.png?width=160","False"
"Allen Robinson","WR",,"9","Los Angeles Rams","6-2","210lbs","29","Penn St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1889923.png?width=160","False"
"Jahan Dotson","WR",,"","Washington Commanders","5-11","184lbs","22","Penn St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2962944.png?width=160","False"
