"Player Name","Season","TAR","RECPT","REYD","RETD","REFD","REAVG","FPTS"
"Chigoziem Okonkwo","2022","46","32","450","3","22","14","65"
"Mark Andrews","2022","113","73","847","5","48","11","116"
"Mark Andrews","2021","153","107","1361","9","75","12","194"
"Mark Andrews","2020","88","58","701","7","37","12","112"
"Mark Andrews","2019","98","64","852","10","44","13","143"
"Mark Andrews","2018","51","34","552","3","28","16","73"
"Evan Engram","2022","98","73","766","4","33","10","103"
"Evan Engram","2021","73","46","408","3","21","8","56"
"Evan Engram","2020","109","63","654","1","32","10","77"
"Evan Engram","2019","68","44","467","3","23","10","64"
"Evan Engram","2018","64","45","577","3","22","12","80"
"Evan Engram","2017","115","64","722","6","37","11","109"
"Greg Dulcich","2022","55","33","411","2","18","12","53"
"Cole Kmet","2022","69","50","544","7","27","10","96"
"Cole Kmet","2021","93","60","612","0","29","10","61"
"Cole Kmet","2020","44","28","243","2","12","8","34"
"Dalton Kincaid","2022","0","0","0","0","0","0","0"
"Tyler Conklin","2022","87","58","552","3","25","9","73"
"Tyler Conklin","2021","87","61","593","3","26","9","77"
"Tyler Conklin","2020","26","19","194","1","11","10","25"
"Tyler Conklin","2019","10","8","58","0","2","7","5"
"Tyler Conklin","2018","7","5","77","0","3","15","7"
"Jelani Woods","2022","40","25","312","3","16","12","49"
"Dalton Schultz","2022","89","57","577","5","27","10","85"
"Dalton Schultz","2021","104","78","808","8","43","10","130"
"Dalton Schultz","2020","89","63","615","4","33","9","83"
"Dalton Schultz","2019","2","1","6","0","0","6","0"
"Dalton Schultz","2018","17","12","116","0","6","9","11"
"Logan Thomas","2022","61","39","323","1","15","8","38"
"Logan Thomas","2021","25","18","196","3","10","10","35"
"Logan Thomas","2020","110","72","670","6","36","9","104"
"Logan Thomas","2019","28","16","173","1","10","10","23"
"Logan Thomas","2018","17","12","77","0","3","6","7"
"Logan Thomas","2017","9","7","67","1","2","9","12"
"Logan Thomas","2016","0","0","0","0","0","0","0"
"Logan Thomas","2015","0","0","0","0","0","0","0"
"Logan Thomas","2014","0","0","0","0","0","0","9"
"Jake Ferguson","2022","22","19","174","2","8","9","29"
"Tyler Higbee","2022","108","72","620","3","32","8","80"
"Tyler Higbee","2021","85","61","560","5","33","9","86"
"Tyler Higbee","2020","60","44","521","5","27","11","84"
"Tyler Higbee","2019","89","69","734","3","36","10","91"
"Tyler Higbee","2018","33","24","292","2","16","12","41"
"Tyler Higbee","2017","45","25","295","1","12","11","35"
"Tyler Higbee","2016","28","11","85","1","3","7","14"
"Hunter Henry","2022","59","41","509","2","23","12","62"
"Hunter Henry","2021","75","50","603","9","34","12","114"
"Hunter Henry","2020","93","60","613","4","35","10","85"
"Hunter Henry","2019","76","55","652","5","36","11","95"
"Hunter Henry","2018","0","0","0","0","0","0","0"
"Hunter Henry","2017","63","45","579","4","32","12","81"
"Hunter Henry","2016","54","36","478","8","30","13","93"
"Dallas Goedert","2022","69","55","702","3","40","12","86"
"Dallas Goedert","2021","76","56","830","4","42","14","109"
"Dallas Goedert","2020","65","46","524","3","28","11","70"
"Dallas Goedert","2019","87","58","607","5","33","10","86"
"Dallas Goedert","2018","44","33","334","4","15","10","57"
"Taysom Hill","2022","13","9","77","2","5","8","139"
"Taysom Hill","2021","6","4","52","0","4","13","125"
"Taysom Hill","2020","12","8","98","1","4","12","155"
"Taysom Hill","2019","22","19","234","6","14","12","82"
"Taysom Hill","2018","7","3","4","0","0","1","29"
"Taysom Hill","2017","0","0","0","0","0","0","0"
"Mike Gesicki","2022","52","32","362","5","19","11","66"
"Mike Gesicki","2021","112","73","780","2","39","10","92"
"Mike Gesicki","2020","85","53","703","6","36","13","106"
"Mike Gesicki","2019","89","51","570","5","25","11","85"
"Mike Gesicki","2018","32","22","202","0","9","9","18"
"Cade Otton","2022","65","42","391","2","19","9","51"
"Kyle Pitts","2022","59","28","356","2","20","12","47"
"Kyle Pitts","2021","110","68","1026","1","43","15","108"
"Irv Smith","2022","36","25","182","2","9","7","30"
"Irv Smith","2021","0","0","0","0","0","0","0"
"Irv Smith","2020","43","30","365","5","22","12","68"
"Irv Smith","2019","47","36","311","2","17","8","43"
"George Kittle","2022","86","60","765","11","36","12","140"
"George Kittle","2021","94","71","910","6","42","12","127"
"George Kittle","2020","63","48","634","2","32","13","76"
"George Kittle","2019","107","85","1053","5","53","12","137"
"George Kittle","2018","136","88","1377","5","60","15","170"
"George Kittle","2017","63","43","515","2","22","11","63"
"Juwan Johnson","2022","65","42","508","7","25","12","92"
"Juwan Johnson","2021","22","13","159","4","12","12","39"
"Juwan Johnson","2020","10","4","39","0","3","9","3"
"Trey Mcbride","2022","39","29","265","1","12","9","32"
"David Njoku","2022","80","58","628","4","36","10","84"
"David Njoku","2021","53","36","475","4","17","13","71"
"David Njoku","2020","29","19","213","2","13","11","33"
"David Njoku","2019","10","5","41","1","3","8","10"
"David Njoku","2018","88","56","639","4","27","11","87"
"David Njoku","2017","60","32","386","4","17","12","62"
"Dawson Knox","2022","65","48","517","6","25","10","87"
"Dawson Knox","2021","71","49","587","9","31","11","114"
"Dawson Knox","2020","44","24","288","3","14","12","42"
"Dawson Knox","2019","50","28","388","2","15","13","50"
"Gerald Everett","2022","87","58","555","4","29","9","81"
"Gerald Everett","2021","63","48","478","4","26","9","69"
"Gerald Everett","2020","62","41","417","1","24","10","51"
"Gerald Everett","2019","60","37","408","2","22","11","52"
"Gerald Everett","2018","51","33","320","3","17","9","53"
"Gerald Everett","2017","32","16","244","2","7","15","35"
"Darren Waller","2022","43","28","388","3","18","13","56"
"Darren Waller","2021","93","55","665","2","31","12","78"
"Darren Waller","2020","146","107","1196","9","69","11","171"
"Darren Waller","2019","117","90","1145","3","53","12","130"
"Darren Waller","2018","6","6","75","0","4","12","9"
"Darren Waller","2017","0","0","0","0","0","0","0"
"Darren Waller","2016","17","10","85","2","7","8","20"
"Darren Waller","2015","6","2","18","0","1","9","1"
"Darnell Washington","2022","0","0","0","0","0","0","0"
"Tj Hockenson","2022","129","86","914","6","44","10","129"
"Tj Hockenson","2021","84","61","583","4","32","9","84"
"Tj Hockenson","2020","101","67","723","6","40","10","108"
"Tj Hockenson","2019","59","32","367","2","19","11","48"
"Zach Ertz","2022","69","47","406","4","24","8","68"
"Zach Ertz","2021","112","74","763","5","40","10","106"
"Zach Ertz","2020","72","36","335","1","16","9","41"
"Zach Ertz","2019","135","88","916","6","50","10","127"
"Zach Ertz","2018","156","116","1163","8","66","10","164"
"Zach Ertz","2017","110","74","824","8","46","11","128"
"Zach Ertz","2016","107","78","816","4","42","10","105"
"Zach Ertz","2015","111","75","853","2","39","11","95"
"Zach Ertz","2014","87","58","702","3","42","12","86"
"Zach Ertz","2013","56","36","469","4","25","13","70"
"Pat Freiermuth","2022","98","63","732","2","37","11","85"
"Pat Freiermuth","2021","79","60","497","7","34","8","91"
"Sam Laporta","2022","0","0","0","0","0","0","0"
"Travis Kelce","2022","152","110","1338","12","78","12","205"
"Travis Kelce","2021","134","92","1125","9","62","12","170"
"Travis Kelce","2020","145","105","1416","11","79","13","207"
"Travis Kelce","2019","136","97","1229","5","65","12","156"
"Travis Kelce","2018","150","103","1336","10","68","12","191"
"Travis Kelce","2017","123","83","1038","8","55","12","149"
"Travis Kelce","2016","117","85","1125","4","55","13","138"
"Travis Kelce","2015","101","72","875","5","40","12","117"
"Travis Kelce","2014","87","67","862","5","45","12","110"
"Travis Kelce","2013","0","0","0","0","0","0","0"
"Michael Mayer","2022","0","0","0","0","0","0","0"
"Hayden Hurst","2022","68","52","414","2","25","7","53"
"Hayden Hurst","2021","31","26","221","3","11","8","38"
"Hayden Hurst","2020","88","56","571","6","35","10","93"
"Hayden Hurst","2019","39","30","349","2","16","11","46"
"Hayden Hurst","2018","23","13","163","1","8","12","22"
"Luke Musgrave","2022","0","0","0","0","0","0","0"
"Noah Fant","2022","63","50","486","4","24","9","72"
"Noah Fant","2021","90","68","670","4","29","9","91"
"Noah Fant","2020","93","62","673","3","34","10","87"
"Noah Fant","2019","66","40","562","3","23","14","72"
