"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","IMG","Drafted"
"Dallas Goedert","TE","6","#88  / Philadelphia Eagles / EXP: 6YRS","Philadelphia Eagles","6-5","256lbs","28","S. Dakota St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/2132551.png?width=160","False"
"Zach Ertz","TE","25","#86  / Arizona Cardinals / EXP: 11YRS","Arizona Cardinals","6-5","250lbs","32","Stanford","https://sportshub.cbsistatic.com/i/sports/player/headshot/1685963.png?width=160","False"
"Michael Mayer","TE","0","#87  / Las Vegas Raiders / EXP: YRS","Las Vegas Raiders","6-4","265lbs","22","Notre Dame","https://sportshub.cbsistatic.com/i/sports/player/headshot/3171673.png?width=160","False"
"Pat Freiermuth","TE","8","#88  / Pittsburgh Steelers / EXP: 3YRS","Pittsburgh Steelers","6-5","258lbs","24","Penn State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2961270.png?width=160","False"
"Sam Laporta","TE","0","#87  / Detroit Lions / EXP: YRS","Detroit Lions","6-3","245lbs","22","Iowa","https://sportshub.cbsistatic.com/i/sports/player/headshot/3124197.png?width=160","False"
"Cole Kmet","TE","18","#85  / Chicago Bears / EXP: 4YRS","Chicago Bears","6-6","260lbs","24","Notre Dame","https://sportshub.cbsistatic.com/i/sports/player/headshot/2868619.png?width=160","False"
"Kyle Pitts","TE","3","#8  / Atlanta Falcons / EXP: 3YRS","Atlanta Falcons","6-6","245lbs","22","Florida","https://sportshub.cbsistatic.com/i/sports/player/headshot/2964514.png?width=160","False"
"Trey Mcbride","TE","26","#85  / Arizona Cardinals / EXP: 2YRS","Arizona Cardinals","6-4","246lbs","23","Colorado St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/2963385.png?width=160","False"
"Hayden Hurst","TE","24","#81  / Carolina Panthers / EXP: 6YRS","Carolina Panthers","6-4","245lbs","30","South Carolina","https://sportshub.cbsistatic.com/i/sports/player/headshot/2185053.png?width=160","False"
"Cade Otton","TE","30","#88  / Tampa Bay Buccaneers / EXP: 2YRS","Tampa Bay Buccaneers","6-5","247lbs","24","Washington","https://sportshub.cbsistatic.com/i/sports/player/headshot/2815179.png?width=160","False"
"Travis Kelce","TE","1","#87  / Kansas City Chiefs / EXP: 11YRS","Kansas City Chiefs","6-5","250lbs","33","Cincinnati","https://sportshub.cbsistatic.com/i/sports/player/headshot/1725130.png?width=160","False"
"Gerald Everett","TE","20","#7  / Los Angeles Chargers / EXP: 7YRS","Los Angeles Chargers","6-3","240lbs","29","South Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/2142692.png?width=160","False"
"Jelani Woods","TE","0","#80  / Indianapolis Colts / EXP: 2YRS","Indianapolis Colts","6-7","253lbs","24","Virginia","https://sportshub.cbsistatic.com/i/sports/player/headshot/2787078.png?width=160","False"
"Dalton Kincaid","TE","0","#86  / Buffalo Bills / EXP: YRS","Buffalo Bills","6-3","246lbs","23","Utah","https://sportshub.cbsistatic.com/i/sports/player/headshot/2982991.png?width=160","False"
"Dawson Knox","TE","31","#88  / Buffalo Bills / EXP: 5YRS","Buffalo Bills","6-4","254lbs","26","Ole Miss","https://sportshub.cbsistatic.com/i/sports/player/headshot/2186345.png?width=160","False"
"Tj Hockenson","TE","4","#87  / Minnesota Vikings / EXP: 5YRS","Minnesota Vikings","6-5","248lbs","26","Iowa","https://sportshub.cbsistatic.com/i/sports/player/headshot/2251097.png?width=160","False"
"Jake Ferguson","TE","19","#87  / Dallas Cowboys / EXP: 2YRS","Dallas Cowboys","6-5","244lbs","24","Wisconsin","https://sportshub.cbsistatic.com/i/sports/player/headshot/2867159.png?width=160","False"
"Chigoziem Okonkwo","TE","12","#85  / Tennessee Titans / EXP: 2YRS","Tennessee Titans","6-3","238lbs","23","Maryland","https://sportshub.cbsistatic.com/i/sports/player/headshot/2965208.png?width=160","False"
"Hunter Henry","TE","27","#85  / New England Patriots / EXP: 8YRS","New England Patriots","6-5","258lbs","28","Arkansas","https://sportshub.cbsistatic.com/i/sports/player/headshot/2079848.png?width=160","False"
"Evan Engram","TE","11","#17  / Jacksonville Jaguars / EXP: 7YRS","Jacksonville Jaguars","6-3","240lbs","29","Ole Miss","https://sportshub.cbsistatic.com/i/sports/player/headshot/2079887.png?width=160","False"
"Irv Smith","TE","22","#81  / Cincinnati Bengals / EXP: 5YRS","Cincinnati Bengals","6-2","240lbs","25","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/2257888.png?width=160","False"
"Greg Dulcich","TE","17","#80  / Denver Broncos / EXP: 2YRS","Denver Broncos","6-4","245lbs","23","UCLA","https://sportshub.cbsistatic.com/i/sports/player/headshot/2964274.png?width=160","False"
"Taysom Hill","TE","21","#7  / New Orleans Saints / EXP: 7YRS","New Orleans Saints","6-2","221lbs","33","BYU","https://sportshub.cbsistatic.com/i/sports/player/headshot/2818935.png?width=160","False"
"Mark Andrews","TE","2","#89  / Baltimore Ravens / EXP: 6YRS","Baltimore Ravens","6-5","247lbs","27","Oklahoma","https://sportshub.cbsistatic.com/i/sports/player/headshot/2131121.png?width=160","False"
"Logan Thomas","TE","0","#82  / Washington Commanders / EXP: 9YRS","Washington Commanders","6-6","250lbs","32","Virginia Tech","https://sportshub.cbsistatic.com/i/sports/player/headshot/1691193.png?width=160","False"
"George Kittle","TE","7","#85  / San Francisco 49ers / EXP: 7YRS","San Francisco 49ers","6-4","250lbs","29","Iowa","https://sportshub.cbsistatic.com/i/sports/player/headshot/2818265.png?width=160","False"
"Juwan Johnson","TE","15","#83  / New Orleans Saints / EXP: 4YRS","New Orleans Saints","6-4","231lbs","26","Oregon","https://sportshub.cbsistatic.com/i/sports/player/headshot/2186637.png?width=160","False"
"Tyler Higbee","TE","16","#89  / Los Angeles Rams / EXP: 8YRS","Los Angeles Rams","6-6","255lbs","30","W. Kentucky","https://sportshub.cbsistatic.com/i/sports/player/headshot/1853103.png?width=160","False"
"Mike Gesicki","TE","29","#88  / New England Patriots / EXP: 6YRS","New England Patriots","6-6","245lbs","27","Penn State","https://sportshub.cbsistatic.com/i/sports/player/headshot/2139298.png?width=160","False"
"Noah Fant","TE","0","#87  / Seattle Seahawks / EXP: 5YRS","Seattle Seahawks","6-4","249lbs","25","Iowa","https://sportshub.cbsistatic.com/i/sports/player/headshot/2251095.png?width=160","False"
"Dalton Schultz","TE","14","#83  / Houston Texans / EXP: 6YRS","Houston Texans","6-5","244lbs","27","Stanford","https://sportshub.cbsistatic.com/i/sports/player/headshot/2136748.png?width=160","False"
"Darnell Washington","TE","0","#80  / Pittsburgh Steelers / EXP: YRS","Pittsburgh Steelers","6-7","265lbs","22","Georgia","https://sportshub.cbsistatic.com/i/sports/player/headshot/3163963.png?width=160","False"
"Darren Waller","TE","5","#12  / New York Giants / EXP: 7YRS","New York Giants","6-6","245lbs","30","Georgia Tech","https://sportshub.cbsistatic.com/i/sports/player/headshot/1850793.png?width=160","False"
"Tyler Conklin","TE","28","#83  / New York Jets / EXP: 6YRS","New York Jets","6-3","248lbs","28","C. Michigan","https://sportshub.cbsistatic.com/i/sports/player/headshot/2165249.png?width=160","False"
"Luke Musgrave","TE","0","#88  / Green Bay Packers / EXP: YRS","Green Bay Packers","6-6","253lbs","23","Oregon State","https://sportshub.cbsistatic.com/i/sports/player/headshot/3129283.png?width=160","False"
"David Njoku","TE","9","#85  / Cleveland Browns / EXP: 7YRS","Cleveland Browns","6-4","246lbs","27","Miami (Fla.)","https://sportshub.cbsistatic.com/i/sports/player/headshot/2136474.png?width=160","False"
