"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG"
"Sam Darnold","QB","28","#14 QB / Carolina Panthers / EXP: 4YRS ","Carolina Panthers","Height: 6-3 ","Weight: 225 lb ","Age: 24 ","College: USC ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/536a9983-4524-4d07-ab9e-63dc13146d80/thumbnail/100x100/5ecc2516867d1e2ef3d8692547714320/2180320.png"
"Russell Wilson","QB","6","#3 QB / Seattle Seahawks / EXP: 10YRS ","Seattle Seahawks","Height: 5-11 ","Weight: 215 lb ","Age: 32 ","College: Wisconsin ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/07/17/bb215995-cf78-4941-bc99-a975e2101647/thumbnail/100x100/cf9d509dfc2f6ad7e168fd1672728e34/1272242.png"
"Trey Lance","QB","16","#5 QB / San Francisco 49ers / EXP: 0YRS ","San Francisco 49ers","Height: 6-4 ","Weight: 226 lb ","Age: 21 ","College: North Dakota State ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/cb4aa1ca-eab2-4aad-ba2f-913a5b7ba932/thumbnail/100x100/268b51499a0a8269ce04fba035c7195a/2969444.png"
"Joe Burrow","QB","13","#9 QB / Cincinnati Bengals / EXP: 2YRS ","Cincinnati Bengals","Height: 6-4 ","Weight: 221 lb ","Age: 24 ","College: LSU ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/06/25/dbc1fbd2-7c62-46e0-8b6b-c56b54bc5dff/thumbnail/100x100/0d1a179a9264262ff5768dd7f1880567/2179798.png"
"Derek Carr","QB","26","#4 QB / Las Vegas Raiders / EXP: 8YRS ","Las Vegas Raiders","Height: 6-3 ","Weight: 210 lb ","Age: 30 ","College: Fresno State ","Bye 8 ","https://sportshub.cbsistatic.com/i/r/2021/08/25/540de07d-7845-433e-9f9e-8dd2c8bbe526/thumbnail/100x100/5ea797b92958844a481ceff0d156dd9a/1664819.png"
"Ben Roethlisberger","QB","17","#7 QB / Pittsburgh Steelers / EXP: 18YRS ","Pittsburgh Steelers","Height: 6-5 ","Weight: 240 lb ","Age: 39 ","College: Miami (OH) ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2020/09/14/9632c1f0-b8b3-42a0-bb0b-b8d1a50cdef7/thumbnail/100x100/a88493de6ee38138da8f985b10101ddb/493043.png"
"Carson Wentz","QB","27","#2 QB / Indianapolis Colts / EXP: 6YRS ","Indianapolis Colts","Height: 6-5 ","Weight: 237 lb ","Age: 28 ","College: North Dakota State ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/09/01/ac083d43-b8e8-49da-9cd7-4832abce5c93/thumbnail/100x100/4ca6e47826241fc589f86b36fb2a82e0/1907522.png"
"Matthew Stafford","QB","12","#9 QB / L.A. Rams / EXP: 13YRS ","Los Angeles Rams ","Height: 6-3 ","Weight: 220 lb ","Age: 33 ","College: Georgia ","Bye 11 ","https://sportshub.cbsistatic.com/i/r/2021/07/26/7a4afb43-d801-4548-bfdf-634942938119/thumbnail/100x100/cbff3f21bcd595ed2b603f33b5937d3e/1114942.png"
"Jameis Winston","QB","20","#2 QB / New Orleans Saints / EXP: 7YRS ","New Orleans Saints","Height: 6-4 ","Weight: 231 lb ","Age: 27 ","College: Florida State ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/20/90988136-ac8b-46f3-8d2a-6abab18aa6a7/thumbnail/100x100/b1439639c1a685cb99e9333b9f68c65c/1998197.png"
"Aaron Rodgers","QB","10","#12 QB / Green Bay Packers / EXP: 17YRS ","Green Bay Packers","Height: 6-2 ","Weight: 225 lb ","Age: 37 ","College: California ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/07/28/a928c6bd-06aa-4205-907f-6a378ae8a73e/thumbnail/100x100/db33a20ed46520c49bf6e9b94b4cf535/419780.png"
"Ryan Tannehill","QB","9","#17 QB / Tennessee Titans / EXP: 10YRS ","Tennessee Titans","Height: 6-4 ","Weight: 217 lb ","Age: 33 ","College: Texas A&M ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/08/18/bfe2bb3a-89a4-4eb6-bedd-49838d4c49c4/thumbnail/100x100/57a1eff0e67214e8aec0397b15eb0fce/1273654.png"
"Tyrod Taylor","QB","32","#5 QB / Houston Texans / EXP: 11YRS ","Houston Texans","Height: 6-1 ","Weight: 217 lb ","Age: 32 ","College: Virginia Tech ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/08/23/4139afc6-66fb-4736-ac7e-c1ea89f3c782/thumbnail/100x100/a366c323e98d9af222f66ec1ff30ce32/1243338.png"
"Justin Herbert","QB","7","#10 QB / L.A. Chargers / EXP: 2YRS ","Los Angeles Chargers ","Height: 6-6 ","Weight: 236 lb ","Age: 23 ","College: Oregon ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/28/c2abd10e-cca5-4397-99a6-b0f39ea848a8/thumbnail/100x100/e006a5f03802e2e17f738dbcf14ea993/2221960.png"
"Lamar Jackson","QB","4","#8 QB / Baltimore Ravens / EXP: 4YRS ","Baltimore Ravens","Height: 6-2 ","Weight: 212 lb ","Age: 24 ","College: Louisville ","Bye 8 ","https://sportshub.cbsistatic.com/i/r/2020/08/31/672bb8af-a965-4a4e-984a-f530f2768922/thumbnail/100x100/558297cbfa280fe963abd1371ec61181/2181169.png"
"Ryan Fitzpatrick","QB","23","#14 QB / Washington Football Team / EXP: 17YRS ","Washington Football Team","Height: 6-2 ","Weight: 221 lb ","Age: 38 ","College: Harvard ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/09/03/fea792f8-7848-494b-8ce2-30eb477f9b70/thumbnail/100x100/5d744d7a9bcaec8d66a1b4fdb96e189e/547043.png"
"Tua Tagovailoa","QB","18","#1 QB / Miami Dolphins / EXP: 2YRS ","Miami Dolphins","Height: 6-1 ","Weight: 217 lb ","Age: 23 ","College: Alabama ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/04/d0ddd325-8a1f-437c-b9f8-6255d7c49e94/thumbnail/100x100/0266128423a3f151b3d74ff2f9ddd433/2741209.png"
"Patrick Mahomes","QB","1","#15 QB / Kansas City Chiefs / EXP: 5YRS ","Kansas City Chiefs","Height: 6-3 ","Weight: 230 lb ","Age: 25 ","College: Texas Tech ","Bye 12 ","https://sportshub.cbsistatic.com/i/r/2020/09/10/6828f587-5894-49fd-866d-1c20efc2db16/thumbnail/100x100/1214035f7f21637e72842e60e69e7c89/2142052.png"
"Kyler Murray","QB","3","#1 QB / Arizona Cardinals / EXP: 3YRS ","Arizona Cardinals","Height: 5-10 ","Weight: 207 lb ","Age: 24 ","College: Oklahoma ","Bye 12 ","https://sportshub.cbsistatic.com/i/r/2021/06/28/553785b6-c1c6-4e56-9c63-0e7f12ab2785/thumbnail/100x100/116f12f070fc674e650c3e3b4a2084e1/2180829.png"
"Jalen Hurts","QB","11","#1 QB / Philadelphia Eagles / EXP: 2YRS ","Philadelphia Eagles","Height: 6-1 ","Weight: 223 lb ","Age: 23 ","College: Oklahoma ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/21/a5529719-e6a2-4eca-a23e-3967caf040c1/thumbnail/100x100/17027af90ce9743f4f0154c39fc1f2a6/2240246.png"
"Kirk Cousins","QB","21","#8 QB / Minnesota Vikings / EXP: 10YRS ","Minnesota Vikings","Height: 6-3 ","Weight: 202 lb ","Age: 33 ","College: Michigan State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/09/01/0baa1841-f8d1-408b-a217-6bed3b6dbc47/thumbnail/100x100/5e3136c53e5746ff2bf2aae4c887b07b/1272574.png"
"Trevor Lawrence","QB","14","#16 QB / Jacksonville Jaguars / EXP: 0YRS ","Jacksonville Jaguars","Height: 6-6 ","Weight: 213 lb ","Age: 21 ","College: Clemson ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/07/09/b0140e2e-fb00-46e9-b157-29de05df2484/thumbnail/100x100/6f2936b1cdb9374b7f11b3bbb9000f21/2967185.png"
"Justin Fields","QB","15","#1 QB / Chicago Bears / EXP: 0YRS ","Chicago Bears","Height: 6-3 ","Weight: 227 lb ","Age: 22 ","College: Ohio State ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/08/25/f9a46621-7a26-4c36-8a04-6dc68be277a8/thumbnail/100x100/9f46bd67b3c277e5be22a2d1d1b3ce81/1273205.png"
"Zach Wilson","QB","25","#2 QB / N.Y. Jets / EXP: 0YRS ","New York Jets ","Height: 6-3 ","Weight: 210 lb ","Age: 22 ","College: BYU ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/a554a45d-d838-426f-85ac-14c4d91a12aa/thumbnail/100x100/bf8d230defd8097eec2777947ad19317/2960892.png"
"Dak Prescott","QB","5","#4 QB / Dallas Cowboys / EXP: 6YRS ","Dallas Cowboys","Height: 6-2 ","Weight: 238 lb ","Age: 28 ","College: Mississippi State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/07/27/c2b96f99-b1db-4446-aaec-258554ba3825/thumbnail/100x100/2e52af90bd7a27e157469b0f389fc395/1824864.png"
"Josh Allen","QB","2","#17 QB / Buffalo Bills / EXP: 4YRS ","Buffalo Bills","Height: 6-5 ","Weight: 237 lb ","Age: 25 ","College: Wyoming ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/06/1894fddd-9c8f-45db-8b3f-ce0e0d32dec1/thumbnail/100x100/41c6e96957e7f7114f3441655275ab74/2181054.png"
"Jared Goff","QB","31","#16 QB / Detroit Lions / EXP: 6YRS ","Detroit Lions","Height: 6-4 ","Weight: 222 lb ","Age: 26 ","College: California ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/07/12/d903bba5-7052-46c6-9f9e-98ddf8adef6c/thumbnail/100x100/b62a5d45c85557b52d2d4d325f0af493/2061053.png"
"Matt Ryan","QB","19","#2 QB / Atlanta Falcons / EXP: 14YRS ","Atlanta Falcons","Height: 6-4 ","Weight: 217 lb ","Age: 36 ","College: Boston College ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2020/09/08/48f4969c-f691-492e-9c23-ca3b12416580/thumbnail/100x100/adefad5afe7acf1b31a3dd5f9aa403a8/420095.png"
"Baker Mayfield","QB","24","#6 QB / Cleveland Browns / EXP: 4YRS ","Cleveland Browns","Height: 6-1 ","Weight: 215 lb ","Age: 26 ","College: Oklahoma ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2020/08/21/bf8fa5a6-e34b-4edd-9b70-f3e16a98c0bb/thumbnail/100x100/91d9dbc96b4f66f4bbfdb30b6ac2853f/2080032.png"
"Tom Brady","QB","8","#12 QB / Tampa Bay Buccaneers / EXP: 22YRS ","Tampa Bay Buccaneers","Height: 6-4 ","Weight: 225 lb ","Age: 44 ","College: Michigan ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/08/17/f15ad01d-3a78-4893-b861-8b63be13dc20/thumbnail/100x100/deef782a027d6bf529efee4a62aca253/187741.png"
"Teddy Bridgewater","QB","29","#5 QB / Denver Broncos / EXP: 8YRS ","Denver Broncos","Height: 6-2 ","Weight: 210 lb ","Age: 28 ","College: Louisville ","Bye 11 ","https://sportshub.cbsistatic.com/i/r/2021/08/25/510627ec-c66b-4c75-af4b-f865663a0fef/thumbnail/100x100/3cf40049597bbd07025142e7f0e8c968/1825122.png"
"Mac Jones","QB","22","#10 QB / New England Patriots / EXP: 0YRS ","New England Patriots","Height: 6-3 ","Weight: 214 lb ","Age: 22 ","College: Alabama ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/f36ffb1d-8fcb-4e13-a124-4e6b5de830c0/thumbnail/100x100/0cc29a40ee034b8e3dc6ecec5defc0fe/2741202.png"
"Daniel Jones","QB","30","#8 QB / N.Y. Giants / EXP: 3YRS ","New York Giants ","Height: 6-5 ","Weight: 220 lb ","Age: 24 ","College: Duke ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/3ad2b8e2-c5c3-4dad-811d-0d61bc5dca43/thumbnail/100x100/b5d28a125c69dbd646c8b5515c296507/2179245.png"
