"Player Name","Season","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Ezekiel Elliott","2021","0","0","0","0","0","0","0"
"Ezekiel Elliott","2020","244","979","6","52","338","2","170"
"Ezekiel Elliott","2019","301","1357","12","54","420","2","257"
"Ezekiel Elliott","2018","304","1434","6","77","567","3","251"
"Ezekiel Elliott","2017","242","983","7","26","269","2","176"
"Ezekiel Elliott","2016","322","1631","15","32","363","1","293"
"Christian Mccaffrey","2021","0","0","0","0","0","0","0"
"Christian Mccaffrey","2020","59","225","5","17","149","1","72"
"Christian Mccaffrey","2019","287","1387","15","116","1005","4","354"
"Christian Mccaffrey","2018","219","1098","7","107","867","6","279"
"Christian Mccaffrey","2017","117","435","2","80","651","5","148"
"Nick Chubb","2021","0","0","0","0","0","0","0"
"Nick Chubb","2020","190","1067","12","16","150","0","191"
"Nick Chubb","2019","298","1494","8","36","278","0","218"
"Nick Chubb","2018","192","996","8","20","149","2","173"
"Derrick Henry","2021","0","0","0","0","0","0","0"
"Derrick Henry","2020","378","2027","17","19","114","0","313"
"Derrick Henry","2019","303","1540","16","18","206","2","276"
"Derrick Henry","2018","215","1059","12","15","99","0","184"
"Derrick Henry","2017","176","744","5","11","136","1","123"
"Derrick Henry","2016","110","490","5","13","137","0","92"
"Mark Ingram","2021","0","0","0","0","0","0","0"
"Mark Ingram","2020","72","299","2","6","50","0","46"
"Mark Ingram","2019","202","1018","10","26","247","5","215"
"Mark Ingram","2018","138","645","6","21","170","1","121"
"Mark Ingram","2017","230","1124","12","58","416","0","219"
"Mark Ingram","2016","205","1043","6","46","319","4","195"
"Mark Ingram","2015","166","769","6","50","405","0","152"
"Mark Ingram","2014","226","964","9","29","145","0","162"
"Mark Ingram","2013","78","386","1","7","68","0","50"
"Mark Ingram","2012","156","602","5","6","29","0","92"
"Mark Ingram","2011","122","474","5","11","46","0","79"
"Devin Singletary","2021","0","0","0","0","0","0","0"
"Devin Singletary","2020","156","687","2","38","269","0","104"
"Devin Singletary","2019","151","775","2","29","194","2","118"
"Phillip Lindsay","2021","0","0","0","0","0","0","0"
"Phillip Lindsay","2020","118","502","1","7","28","0","58"
"Phillip Lindsay","2019","224","1011","7","35","196","0","162"
"Phillip Lindsay","2018","192","1037","9","35","241","1","187"
"Tony Jones","2021","0","0","0","0","0","0","0"
"Tony Jones","2020","3","13","0","0","0","0","1"
"Miles Sanders","2021","0","0","0","0","0","0","0"
"Miles Sanders","2020","164","867","6","28","197","0","141"
"Miles Sanders","2019","179","818","3","50","509","3","167"
"Tevin Coleman","2021","0","0","0","0","0","0","0"
"Tevin Coleman","2020","28","53","0","4","34","0","8"
"Tevin Coleman","2019","137","544","6","21","180","1","114"
"Tevin Coleman","2018","167","800","4","32","276","5","161"
"Tevin Coleman","2017","156","628","5","27","299","3","139"
"Tevin Coleman","2016","118","520","8","31","421","3","160"
"Tevin Coleman","2015","87","392","1","2","14","0","40"
"Kenyan Drake","2021","0","0","0","0","0","0","0"
"Kenyan Drake","2020","239","955","10","25","137","0","166"
"Kenyan Drake","2019","170","817","8","50","345","0","163"
