"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG"
"Ezekiel Elliott","RB","4","#21 RB / Dallas Cowboys / EXP: 6YRS ","Dallas Cowboys","Height: 6-0 ","Weight: 228 lb ","Age: 26 ","College: Ohio State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/07/27/913c02a6-073a-4b9c-a4d3-4c88550b1eba/thumbnail/100x100/18428a4f2a6358a2ce6f5cb525c8b229/2060769.png"
"Christian Mccaffrey","RB","1","#22 RB / Carolina Panthers / EXP: 5YRS ","Carolina Panthers","Height: 5-11 ","Weight: 205 lb ","Age: 25 ","College: Stanford ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/68542d17-ebe2-4016-bb57-ca147f481595/thumbnail/100x100/f6c5e644fe6eece93a53369d781f3bb6/2136743.png"
"Nick Chubb","RB","8","#24 RB / Cleveland Browns / EXP: 4YRS ","Cleveland Browns","Height: 5-11 ","Weight: 227 lb ","Age: 25 ","College: Georgia ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2020/08/25/db32a702-10c0-4b5f-af52-01298debbe4e/thumbnail/100x100/e2f3eb644ab851706738ce45990c90bd/2131579.png"
"Derrick Henry","RB","2","#22 RB / Tennessee Titans / EXP: 6YRS ","Tennessee Titans","Height: 6-3 ","Weight: 247 lb ","Age: 27 ","College: Alabama ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/08/18/ab79f6e1-c47f-4ec4-a0b3-88be400122f3/thumbnail/100x100/6922fdf8bdecb9c31d13d8d583ec1654/2061188.png"
"Mark Ingram","RB","49","#2 RB / Houston Texans / EXP: 11YRS ","Houston Texans","Height: 5-9 ","Weight: 215 lb ","Age: 31 ","College: Alabama ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/08/23/df9a85e3-1466-4338-9d92-3edfd5823271/thumbnail/100x100/fa41907d302e5157735bcd2edd6ea125/1623793.png"
"Devin Singletary","RB","36","#26 RB / Buffalo Bills / EXP: 3YRS ","Buffalo Bills","Height: 5-7 ","Weight: 203 lb ","Age: 24 ","College: Florida Atlantic ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/16/1ba796dd-903e-4fe1-881b-86604945a820/thumbnail/100x100/6c623d9344537037e447bbbec59ce2d1/2241251.png"
"Phillip Lindsay","RB","40","#30 RB / Houston Texans / EXP: 4YRS ","Houston Texans","Height: 5-8 ","Weight: 190 lb ","Age: 27 ","College: Colorado ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/08/23/4aa5a4de-cf6f-410e-8f31-6e6911a89ffa/thumbnail/100x100/05c3df7eca8d7683f0ac923580e60d2e/2079084.png"
"Tony Jones","RB","52","#37 RB / New Orleans Saints / EXP: 1YRS ","New Orleans Saints","Height: 5-11 ","Weight: 224 lb ","Age: 23 ","College: Notre Dame ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/19/88e5e262-2da0-4ec7-b3e1-c72a3e58d5e5/thumbnail/100x100/c171e9b7d8e56ed261a7d58ee291edb8/2260681.png"
"Miles Sanders","RB","24","#26 RB / Philadelphia Eagles / EXP: 3YRS ","Philadelphia Eagles","Height: 5-11 ","Weight: 211 lb ","Age: 24 ","College: Penn State ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/23/c63dedcb-5bc0-4d64-a2aa-a5b3a90a152f/thumbnail/100x100/be20dcb1e3080acf2097d75bf633911d/2251305.png"
"Tevin Coleman","RB","48","#23 RB / N.Y. Jets / EXP: 7YRS ","New York Jets ","Height: 6-1 ","Weight: 210 lb ","Age: 28 ","College: Indiana ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/39c13739-e96a-4eab-895b-6b5aa59e0170/thumbnail/100x100/0198ca8b462009fde70d583c86e8e304/2001839.png"
"Kenyan Drake","RB","38","#23 RB / Las Vegas Raiders / EXP: 6YRS ","Las Vegas Raiders","Height: 6-1 ","Weight: 211 lb ","Age: 27 ","College: Alabama ","Bye 8 ","https://sportshub.cbsistatic.com/i/r/2021/08/25/ce1f0530-1a79-4579-96e9-b946e5becacc/thumbnail/100x100/8490be1c11308434b0169497bca15aa3/2000903.png"
"Austin Ekeler","RB","13","#30 RB / L.A. Chargers / EXP: 5YRS ","Los Angeles Chargers ","Height: 5-10 ","Weight: 200 lb ","Age: 26 ","College: Western State (Colo.) ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/28/2aabf7ce-e69b-4f94-a0f3-1cd309574f1d/thumbnail/100x100/071fb04dfed1441c0968c4513cd356be/2820090.png"
"Chase Edmonds","RB","28","#2 RB / Arizona Cardinals / EXP: 4YRS ","Arizona Cardinals","Height: 5-9 ","Weight: 210 lb ","Age: 25 ","College: Fordham ","Bye 12 ","https://sportshub.cbsistatic.com/i/r/2021/06/30/e8658fe7-1e4a-48b2-a8f1-1fada8d775f4/thumbnail/100x100/e1d944e52991c4ff35317d8bd5342283/2137507.png"
"Trey Sermon","RB","30","#28 RB / San Francisco 49ers / EXP: 0YRS ","San Francisco 49ers","Height: 6-0 ","Weight: 221 lb ","Age: 22 ","College: Ohio State ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/c3ff622c-ac84-489e-b0e2-96867c0a192c/thumbnail/100x100/15be1e96818ac458dce03ed459d33395/2804142.png"
"Devontae Booker","RB","56","#28 RB / N.Y. Giants / EXP: 6YRS ","New York Giants ","Height: 5-11 ","Weight: 219 lb ","Age: 29 ","College: Utah ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2020/11/10/6a36626b-7382-4083-9f30-ae859b3da353/thumbnail/100x100/c5cd95e9bad90fb100f51489646cbce2/2061491.png"
"Rhamondre Stevenson","RB","44","#38 RB / New England Patriots / EXP: 0YRS ","New England Patriots","Height: 6-0 ","Weight: 227 lb ","Age: 23 ","College: Oklahoma ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/f6bf1f79-062f-4807-9a67-52f4d65a18fe/thumbnail/100x100/83ae322e9e7857be1f8113f37c522866/3125832.png"
"Latavius Murray","RB","51","#28 RB / New Orleans Saints / EXP: 9YRS ","New Orleans Saints","Height: 6-3 ","Weight: 230 lb ","Age: 31 ","College: UCF ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/19/d19c37eb-a277-497e-b609-b23ce5dd9e82/thumbnail/100x100/31ac3deb88a0f0b77df4e11def3057ba/1637004.png"
"Justin Jackson","RB","55","#22 RB / L.A. Chargers / EXP: 4YRS ","Los Angeles Chargers ","Height: 6-0 ","Weight: 200 lb ","Age: 25 ","College: Northwestern ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/6c2b8cb4-0d52-4b29-9855-56da137e0e89/thumbnail/100x100/d8405c33ebc210f43f28420d76bd4e26/2155320.png"
"Giovani Bernard","RB","46","#25 RB / Tampa Bay Buccaneers / EXP: 9YRS ","Tampa Bay Buccaneers","Height: 5-9 ","Weight: 208 lb ","Age: 29 ","College: North Carolina ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/08/17/d80a7a3e-dc0a-4ab0-9949-7692705f806c/thumbnail/100x100/e10cb0a47d6c9efaaf917fcfc02111f8/1737248.png"
"Tyson Williams","RB","45","#34 RB / Baltimore Ravens / EXP: 1YRS ","Baltimore Ravens","Height: 6-0 ","Weight: 220 lb ","Age: 25 ","College: BYU ","Bye 8 ","https://sportshub.cbsistatic.com/i/r/2021/08/06/b9caa53c-bbbb-437b-ba61-e6c301e9195b/thumbnail/100x100/f825a013b1105281e8d390e1491bbf0b/3172893.png"
"Sony Michel","RB","34","#14 RB / L.A. Rams / EXP: 4YRS ","Los Angeles Rams ","Height: 5-11 ","Weight: 215 lb ","Age: 26 ","College: Georgia ","Bye 11 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/1a37e8d7-b17a-43b1-b49d-85147b1a18ea/thumbnail/100x100/32948f5a765e6251af5951d32c2f9281/2131588.png"
"Ty Johnson","RB","58","#25 RB / N.Y. Jets / EXP: 3YRS ","New York Jets ","Height: 5-10 ","Weight: 210 lb ","Age: 23 ","College: Maryland ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2020/09/09/c59878c7-1ff1-4323-9572-65dc3cd82b4b/thumbnail/100x100/8a307fd0c17286cd55f4919912f3acc1/2179323.png"
"Rashaad Penny","RB","NR","#20 RB / Seattle Seahawks / EXP: 4YRS ","Seattle Seahawks","Height: 5-11 ","Weight: 220 lb ","Age: 25 ","College: San Diego State ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/07/15/3222fa1e-5e12-484e-adf9-cd8b89b23bae/thumbnail/100x100/4d4a9dd168a0cf6915a69490f33b6fa6/2144893.png"
"Jamaal Williams","RB","35","#30 RB / Detroit Lions / EXP: 5YRS ","Detroit Lions","Height: 6-0 ","Weight: 213 lb ","Age: 26 ","College: BYU ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/07/12/e05ac8c8-ead0-4749-80d0-f7f2ee4110c6/thumbnail/100x100/86b019696aa5c3668efdfb73bfede5d9/2001287.png"
"James White","RB","47","#28 RB / New England Patriots / EXP: 8YRS ","New England Patriots","Height: 5-10 ","Weight: 205 lb ","Age: 29 ","College: Wisconsin ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/7e007a73-f14d-4f00-a019-1a1d75d018e4/thumbnail/100x100/c99e10d962bc730e4742b87d6c635e98/1759592.png"
"Chuba Hubbard","RB","59","#30 RB / Carolina Panthers / EXP: 0YRS ","Carolina Panthers","Height: 6-1 ","Weight: 210 lb ","Age: 22 ","College: Oklahoma State ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/74ec25c4-b86c-40b7-986b-25098e8c99ed/thumbnail/100x100/e99a52ccf2f5f6525e2dcf519772c3b4/2865693.png"
"Jd Mckissic","RB","60","#41 RB / Washington Football Team / EXP: 5YRS ","Washington Football Team","Height: 5-10 ","Weight: 195 lb ","Age: 28 ","College: Arkansas State ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2020/09/12/b44203a8-ddd3-40fd-8571-61d9cfea10d3/thumbnail/100x100/fbf61d8b7ea482009face9254c430fd7/1886804.png"
