"Player Name","Week","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Ezekiel Elliott","1","22","96","1","3","31","1","24"
"Ezekiel Elliott","2","22","89","1","6","33","0","15"
"Ezekiel Elliott","3","14","34","1","6","24","0","11"
"Ezekiel Elliott","4","12","54","0","8","71","0","12"
"Ezekiel Elliott","5","19","91","2","1","14","0","22"
"Ezekiel Elliott","6","12","49","0","8","31","0","3"
"Ezekiel Elliott","7","12","45","0","1","6","0","4"
"Ezekiel Elliott","8","19","63","0","1","10","0","7"
"Ezekiel Elliott","9","18","51","0","2","18","0","6"
"Ezekiel Elliott","10","0","0","0","0","0","0","0"
"Ezekiel Elliott","11","21","103","0","2","11","1","17"
"Ezekiel Elliott","12","10","32","0","1","7","0","1"
"Ezekiel Elliott","13","18","77","0","4","18","0","8"
"Ezekiel Elliott","14","12","48","0","2","11","0","5"
"Ezekiel Elliott","15","0","0","0","0","0","0","0"
"Ezekiel Elliott","16","19","105","0","4","34","0","13"
"Ezekiel Elliott","17","14","42","1","3","19","0","11"
"Christian Mccaffrey","1","23","97","2","3","38","0","24"
"Christian Mccaffrey","2","18","59","2","4","29","0","19"
"Christian Mccaffrey","3","0","0","0","0","0","0","0"
"Christian Mccaffrey","4","0","0","0","0","0","0","0"
"Christian Mccaffrey","5","0","0","0","0","0","0","0"
"Christian Mccaffrey","6","0","0","0","0","0","0","0"
"Christian Mccaffrey","7","0","0","0","0","0","0","0"
"Christian Mccaffrey","8","0","0","0","0","0","0","0"
"Christian Mccaffrey","9","18","69","1","10","82","1","26"
"Christian Mccaffrey","10","0","0","0","0","0","0","0"
"Christian Mccaffrey","11","0","0","0","0","0","0","0"
"Christian Mccaffrey","12","0","0","0","0","0","0","0"
"Christian Mccaffrey","13","0","0","0","0","0","0","0"
"Christian Mccaffrey","14","0","0","0","0","0","0","0"
"Christian Mccaffrey","15","0","0","0","0","0","0","0"
"Christian Mccaffrey","16","0","0","0","0","0","0","0"
"Christian Mccaffrey","17","0","0","0","0","0","0","0"
"Nick Chubb","1","10","60","0","1","6","0","4"
"Nick Chubb","2","22","124","2","1","9","0","24"
"Nick Chubb","3","19","108","2","1","2","0","22"
"Nick Chubb","4","6","43","0","0","0","0","4"
"Nick Chubb","5","0","0","0","0","0","0","0"
"Nick Chubb","6","0","0","0","0","0","0","0"
"Nick Chubb","7","0","0","0","0","0","0","0"
"Nick Chubb","8","0","0","0","0","0","0","0"
"Nick Chubb","9","0","0","0","0","0","0","0"
"Nick Chubb","10","19","126","1","0","0","0","18"
"Nick Chubb","11","20","114","0","0","0","0","11"
"Nick Chubb","12","19","144","1","3","32","0","23"
"Nick Chubb","13","18","80","1","1","26","0","16"
"Nick Chubb","14","17","82","2","2","21","0","22"
"Nick Chubb","15","15","50","1","2","16","0","12"
"Nick Chubb","16","11","28","1","5","38","0","11"
"Nick Chubb","17","14","108","1","0","0","0","16"
"Derrick Henry","1","31","116","0","3","15","0","12"
"Derrick Henry","2","25","84","0","0","0","0","8"
"Derrick Henry","3","26","119","2","2","11","0","24"
"Derrick Henry","4","0","0","0","0","0","0","0"
"Derrick Henry","5","19","57","2","1","6","0","17"
"Derrick Henry","6","22","212","2","2","52","0","38"
"Derrick Henry","7","20","75","1","2","-3","0","13"
"Derrick Henry","8","18","112","1","0","0","0","17"
"Derrick Henry","9","21","68","0","0","0","0","6"
"Derrick Henry","10","19","103","0","1","6","0","10"
"Derrick Henry","11","28","133","1","1","-1","0","19"
"Derrick Henry","12","27","178","3","2","7","0","35"
"Derrick Henry","13","15","60","0","1","9","0","4"
"Derrick Henry","14","26","215","2","2","7","0","33"
"Derrick Henry","15","24","147","1","2","5","0","22"
"Derrick Henry","16","23","98","0","0","0","0","9"
"Derrick Henry","17","34","250","2","0","0","0","35"
"Mark Ingram","1","10","29","0","0","0","0","2"
"Mark Ingram","2","9","55","1","2","22","0","13"
"Mark Ingram","3","7","30","0","0","0","0","3"
"Mark Ingram","4","8","34","1","1","3","0","9"
"Mark Ingram","5","11","57","0","0","0","0","5"
"Mark Ingram","6","5","20","0","0","0","0","2"
"Mark Ingram","7","0","0","0","0","0","0","0"
"Mark Ingram","8","0","0","0","0","0","0","0"
"Mark Ingram","9","0","0","0","0","0","0","0"
"Mark Ingram","10","5","5","0","2","24","0","2"
"Mark Ingram","11","2","2","0","0","0","0","0"
"Mark Ingram","12","0","0","0","0","0","0","0"
"Mark Ingram","13","6","28","0","1","1","0","2"
"Mark Ingram","14","0","0","0","0","0","0","0"
"Mark Ingram","15","0","0","0","0","0","0","0"
"Mark Ingram","16","0","0","0","0","0","0","0"
"Mark Ingram","17","9","39","0","0","0","0","3"
"Devin Singletary","1","9","30","0","5","23","0","5"
"Devin Singletary","2","10","56","0","2","20","0","7"
"Devin Singletary","3","13","71","0","4","50","0","12"
"Devin Singletary","4","18","56","1","5","21","0","13"
"Devin Singletary","5","11","25","0","1","8","0","2"
"Devin Singletary","6","10","32","0","1","13","0","4"
"Devin Singletary","7","8","29","0","2","18","0","3"
"Devin Singletary","8","14","86","0","1","6","0","8"
"Devin Singletary","9","2","1","0","3","33","0","3"
"Devin Singletary","10","4","15","0","1","-5","0","1"
"Devin Singletary","11","0","0","0","0","0","0","0"
"Devin Singletary","12","11","82","0","3","20","0","8"
"Devin Singletary","13","18","61","0","3","22","0","8"
"Devin Singletary","14","7","32","0","1","2","0","3"
"Devin Singletary","15","8","68","1","3","16","0","13"
"Devin Singletary","16","10","36","0","2","16","0","4"
"Devin Singletary","17","3","7","0","1","6","0","0"
"Phillip Lindsay","1","7","24","0","1","11","0","3"
