"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG"
"Cole Kmet","TE","16","#85 TE / Chicago Bears / EXP: 2YRS ","Chicago Bears","Height: 6-6 ","Weight: 262 lb ","Age: 22 ","College: Notre Dame ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2020/08/19/558cfcf9-60c6-4ec2-8b94-73387d8bcabd/thumbnail/100x100/0b89b180918bd8087f107b52c9cc20cb/2868619.png"
"Dallas Goedert","TE","10","#88 TE / Philadelphia Eagles / EXP: 4YRS ","Philadelphia Eagles","Height: 6-5 ","Weight: 256 lb ","Age: 26 ","College: South Dakota State ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2020/09/09/0f2b1e34-f03b-427d-8a68-d1cd7b8a700a/thumbnail/100x100/b2eff8c273bed5381510a036baf901f0/2132551.png"
"Jared Cook","TE","20","#87 TE / L.A. Chargers / EXP: 13YRS ","Los Angeles Chargers ","Height: 6-5 ","Weight: 246 lb ","Age: 34 ","College: South Carolina ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/28/5d48f71e-889b-4beb-9bd9-1410b09b21ce/thumbnail/100x100/49cd20ee52603c4b1dfc1d4fc7cd55f0/584314.png"
"Mo Aliecox","TE","NR","#81 TE / Indianapolis Colts / EXP: 4YRS ","Indianapolis Colts","Height: 6-5 ","Weight: 267 lb ","Age: 27 ","College: Virginia Commonwealth ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/08/28/3a86ccf6-c8ef-4f7b-80f4-08261305b2c5/thumbnail/100x100/e7c7d7acad8a26716429cbcf349bef47/2815925.png"
"Kylen Granson","TE","NR","#83 TE / Indianapolis Colts / EXP: 0YRS ","Indianapolis Colts","Height: 6-2 ","Weight: 242 lb ","Age: 23 ","College: SMU ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2021/07/02/a3f4f608-a595-4048-bfa5-0955a29eb848/thumbnail/100x100/a0a0a870d22da938849525f70e474544/2247146.png"
"Eric Ebron","TE","21","#85 TE / Pittsburgh Steelers / EXP: 8YRS ","Pittsburgh Steelers","Height: 6-4 ","Weight: 253 lb ","Age: 28 ","College: North Carolina ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2020/09/14/6c268d41-f296-491c-baf9-4a9e7b39f4bf/thumbnail/100x100/9137890aedf6b4aac6bf30b9ca6f4cd0/1865396.png"
"Pat Freiermuth","TE","NR","#88 TE / Pittsburgh Steelers / EXP: 0YRS ","Pittsburgh Steelers","Height: 6-5 ","Weight: 258 lb ","Age: 22 ","College: Penn State ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/27/f0cee6ab-a4a3-410a-a7f9-65974f1a8b16/thumbnail/100x100/05a2a26c25ec78f4574d3daa65eb907b/2961270.png"
"Mark Andrews","TE","4","#89 TE / Baltimore Ravens / EXP: 4YRS ","Baltimore Ravens","Height: 6-5 ","Weight: 256 lb ","Age: 25 ","College: Oklahoma ","Bye 8 ","https://sportshub.cbsistatic.com/i/r/2021/08/06/4c3356f0-7d40-417d-b2c9-45fbb0562e9e/thumbnail/100x100/1e37bd1ec0f38bf81e4a8e5f73ca70a1/2131121.png"
"Evan Engram","TE","22","#88 TE / N.Y. Giants / EXP: 5YRS ","New York Giants ","Height: 6-3 ","Weight: 240 lb ","Age: 27 ","College: Ole Miss ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2020/09/10/27305ff4-7532-47bb-8d9c-a965d5ed3d1c/thumbnail/100x100/54de5b5a90c45c8fe7ae69997d102c23/2079887.png"
"Tyler Higbee","TE","14","#89 TE / L.A. Rams / EXP: 6YRS ","Los Angeles Rams ","Height: 6-6 ","Weight: 255 lb ","Age: 28 ","College: Western Kentucky ","Bye 11 ","https://sportshub.cbsistatic.com/i/r/2021/07/26/95e27968-c746-4dbd-909c-7901c877de04/thumbnail/100x100/3565b5dc167b0a3ebc03ef05a95e1212/1853103.png"
"Hayden Hurst","TE","27","#81 TE / Atlanta Falcons / EXP: 4YRS ","Atlanta Falcons","Height: 6-4 ","Weight: 260 lb ","Age: 28 ","College: South Carolina ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2020/07/06/b8fd1a69-7f79-466b-96c2-cd1a8b214744/thumbnail/100x100/1825a0daf65689a55d56017e61b96d18/2185053.png"
