"Player Name","Season","TAR","RECPT","REYD","RETD","REFD","REAVG","FPTS"
"Cole Kmet","2021","0","0","0","0","0","0","0"
"Cole Kmet","2020","44","28","243","2","12","9","34"
"Dallas Goedert","2021","0","0","0","0","0","0","0"
"Dallas Goedert","2020","65","46","524","3","28","11","70"
"Dallas Goedert","2019","87","58","607","5","33","10","86"
"Dallas Goedert","2018","44","33","334","4","15","10","57"
"Jared Cook","2021","0","0","0","0","0","0","0"
"Jared Cook","2020","60","37","504","7","27","14","90"
"Jared Cook","2019","65","43","705","9","32","16","124"
"Jared Cook","2018","101","68","896","6","46","13","125"
"Jared Cook","2017","86","54","688","2","35","13","78"
"Jared Cook","2016","51","30","377","1","19","13","41"
"Jared Cook","2015","75","39","481","0","19","12","48"
"Jared Cook","2014","98","52","634","3","32","12","81"
"Jared Cook","2013","83","51","671","5","34","13","95"
"Jared Cook","2012","72","44","523","4","24","12","74"
"Jared Cook","2011","82","49","759","3","34","16","89"
"Jared Cook","2010","45","29","361","1","18","12","42"
"Jared Cook","2009","15","9","74","0","5","8","7"
"Mo Aliecox","2021","0","0","0","0","0","0","0"
"Mo Aliecox","2020","38","31","394","2","19","13","49"
"Mo Aliecox","2019","11","8","93","0","5","12","9"
"Mo Aliecox","2018","13","7","133","2","6","19","25"
"Mo Aliecox","2017","0","0","0","0","0","0","0"
"Eric Ebron","2021","0","0","0","0","0","0","0"
"Eric Ebron","2020","91","56","558","5","30","10","85"
"Eric Ebron","2019","52","31","375","3","20","12","55"
"Eric Ebron","2018","110","66","750","13","39","11","157"
"Eric Ebron","2017","86","53","574","4","30","11","79"
"Eric Ebron","2016","86","61","711","1","37","12","83"
"Eric Ebron","2015","69","47","537","5","27","11","83"
"Eric Ebron","2014","48","25","248","1","14","10","30"
"Mark Andrews","2021","0","0","0","0","0","0","0"
"Mark Andrews","2020","88","58","701","7","37","12","112"
"Mark Andrews","2019","98","64","852","10","44","13","143"
"Mark Andrews","2018","51","34","552","3","28","16","73"
"Evan Engram","2021","0","0","0","0","0","0","0"
"Evan Engram","2020","109","63","654","1","32","10","77"
"Evan Engram","2019","68","44","467","3","23","11","64"
"Evan Engram","2018","64","45","577","3","22","13","80"
"Evan Engram","2017","115","64","722","6","37","11","109"
"Tyler Higbee","2021","0","0","0","0","0","0","0"
"Tyler Higbee","2020","60","44","521","5","27","12","84"
