"Player Name","Season","TAR","RECPT","REYD","RETD","REFD","REAVG","FPTS"
"Dk Metcalf","2021","0","0","0","0","0","0","0"
"Dk Metcalf","2020","129","83","1303","10","63","16","188"
"Dk Metcalf","2019","100","58","900","7","39","16","129"
"Justin Jefferson","2021","0","0","0","0","0","0","0"
"Justin Jefferson","2020","125","88","1400","7","58","16","186"
"Terry Mclaurin","2021","0","0","0","0","0","0","0"
"Terry Mclaurin","2020","134","87","1118","4","51","13","136"
"Terry Mclaurin","2019","93","58","919","7","43","16","133"
"Marquez Callaway","2021","0","0","0","0","0","0","0"
"Marquez Callaway","2020","27","21","213","0","10","10","21"
"Marquise Brown","2021","0","0","0","0","0","0","0"
"Marquise Brown","2020","100","58","769","8","35","13","124"
"Marquise Brown","2019","71","46","584","7","24","13","100"
"Devante Parker","2021","0","0","0","0","0","0","0"
"Devante Parker","2020","103","63","793","4","45","13","103"
"Devante Parker","2019","128","72","1202","9","58","17","174"
"Devante Parker","2018","47","24","309","1","14","13","36"
"Devante Parker","2017","96","57","670","1","33","12","73"
"Devante Parker","2016","89","56","744","4","34","13","98"
"Devante Parker","2015","51","26","494","3","20","19","67"
"Mecole Hardman","2021","0","0","0","0","0","0","0"
"Mecole Hardman","2020","62","41","560","4","23","14","81"
"Mecole Hardman","2019","41","26","538","6","18","21","86"
"Robby Anderson","2021","0","0","0","0","0","0","0"
"Robby Anderson","2020","136","95","1096","3","49","12","128"
"Robby Anderson","2019","96","52","779","5","35","15","109"
"Robby Anderson","2018","93","50","752","6","30","15","107"
"Robby Anderson","2017","114","63","941","7","36","15","136"
"Robby Anderson","2016","78","42","587","2","18","14","72"
"Tyler Lockett","2021","0","0","0","0","0","0","0"
"Tyler Lockett","2020","132","100","1054","10","57","11","165"
"Tyler Lockett","2019","110","82","1057","8","53","13","153"
"Tyler Lockett","2018","71","57","965","10","37","17","164"
"Tyler Lockett","2017","69","45","555","2","23","12","72"
"Tyler Lockett","2016","67","41","597","1","22","15","82"
"Tyler Lockett","2015","68","51","664","6","31","13","102"
"Corey Davis","2021","0","0","0","0","0","0","0"
"Corey Davis","2020","92","65","984","5","49","15","126"
"Corey Davis","2019","69","43","601","2","33","14","72"
"Corey Davis","2018","112","65","891","4","47","14","118"
"Corey Davis","2017","65","34","375","0","17","11","35"
"Emmanuel Sanders","2021","0","0","0","0","0","0","0"
"Emmanuel Sanders","2020","82","61","726","5","33","12","103"
"Emmanuel Sanders","2019","97","66","869","5","41","13","125"
"Emmanuel Sanders","2018","99","71","868","4","37","12","128"
"Emmanuel Sanders","2017","94","47","555","2","30","12","67"
"Emmanuel Sanders","2016","139","79","1032","5","50","13","133"
"Emmanuel Sanders","2015","137","76","1135","6","51","15","147"
"Emmanuel Sanders","2014","141","101","1404","9","69","14","200"
"Emmanuel Sanders","2013","112","67","740","6","37","11","114"
"Emmanuel Sanders","2012","74","44","626","1","31","14","64"
"Emmanuel Sanders","2011","43","22","288","2","17","13","40"
"Emmanuel Sanders","2010","49","28","376","2","18","13","47"
"Dj Moore","2021","0","0","0","0","0","0","0"
"Dj Moore","2020","118","66","1193","4","53","18","145"
"Dj Moore","2019","135","87","1175","4","63","14","143"
"Dj Moore","2018","82","55","788","2","33","14","101"
"Deebo Samuel","2021","0","0","0","0","0","0","0"
"Deebo Samuel","2020","44","33","391","1","19","12","47"
"Deebo Samuel","2019","81","57","802","3","32","14","131"
"Calvin Ridley","2021","0","0","0","0","0","0","0"
"Calvin Ridley","2020","143","90","1374","9","65","15","191"
"Calvin Ridley","2019","93","63","866","7","47","14","133"
"Calvin Ridley","2018","93","64","821","10","39","13","142"
"Mike Williams","2021","0","0","0","0","0","0","0"
"Mike Williams","2020","85","48","756","5","35","16","105"
"Mike Williams","2019","90","49","1001","2","41","20","112"
"Mike Williams","2018","66","43","664","10","36","15","136"
"Mike Williams","2017","23","11","95","0","7","9","9"
"Tyreek Hill","2021","0","0","0","0","0","0","0"
"Tyreek Hill","2020","135","87","1276","15","57","15","241"
"Tyreek Hill","2019","89","58","860","7","39","15","130"
"Tyreek Hill","2018","137","87","1479","12","60","17","240"
"Tyreek Hill","2017","105","75","1183","7","41","16","163"
"Tyreek Hill","2016","83","61","593","6","31","10","137"
"Diontae Johnson","2021","0","0","0","0","0","0","0"
"Diontae Johnson","2020","144","88","923","7","45","10","133"
"Diontae Johnson","2019","92","59","680","5","31","12","98"
"Bryan Edwards","2021","0","0","0","0","0","0","0"
"Bryan Edwards","2020","15","11","193","1","9","18","25"
"Michael Thomas","2021","0","0","0","0","0","0","0"
"Michael Thomas","2020","55","40","438","0","25","11","43"
"Michael Thomas","2019","185","149","1725","9","91","12","226"
"Michael Thomas","2018","147","125","1405","9","75","11","190"
"Michael Thomas","2017","149","104","1245","5","70","12","154"
"Michael Thomas","2016","122","92","1137","9","62","12","163"
"Jarvis Landry","2021","0","0","0","0","0","0","0"
"Jarvis Landry","2020","101","72","840","3","46","12","117"
"Jarvis Landry","2019","138","83","1174","6","55","14","154"
"Jarvis Landry","2018","150","81","976","4","44","12","135"
"Jarvis Landry","2017","160","112","987","9","60","9","148"
"Jarvis Landry","2016","132","94","1136","4","52","12","136"
"Jarvis Landry","2015","166","111","1159","4","60","10","158"
"Jarvis Landry","2014","112","84","758","5","48","9","97"
"Cooper Kupp","2021","0","0","0","0","0","0","0"
"Cooper Kupp","2020","124","92","974","3","45","11","116"
"Cooper Kupp","2019","134","94","1161","10","51","12","176"
"Cooper Kupp","2018","56","40","566","6","25","14","94"
"Cooper Kupp","2017","95","62","869","5","42","14","114"
"Henry Ruggs Iii","2021","0","0","0","0","0","0","0"
"Henry Ruggs Iii","2020","43","26","452","2","13","17","57"
"Robert Woods","2021","0","0","0","0","0","0","0"
"Robert Woods","2020","129","90","936","6","46","10","154"
"Robert Woods","2019","139","90","1134","2","54","13","142"
"Robert Woods","2018","130","86","1219","6","66","14","178"
"Robert Woods","2017","85","56","781","5","36","14","107"
"Robert Woods","2016","74","51","613","1","32","12","67"
"Robert Woods","2015","80","47","552","3","27","12","71"
"Robert Woods","2014","104","65","699","5","35","11","99"
"Robert Woods","2013","86","40","587","3","26","15","79"
"Brandon Aiyuk","2021","0","0","0","0","0","0","0"
"Brandon Aiyuk","2020","96","60","748","5","43","12","123"
"Kenny Golladay","2021","0","0","0","0","0","0","0"
"Kenny Golladay","2020","32","20","338","2","16","17","45"
"Kenny Golladay","2019","116","65","1190","11","52","18","183"
"Kenny Golladay","2018","120","70","1063","5","56","15","136"
"Kenny Golladay","2017","48","28","477","3","18","17","65"
"Jakobi Meyers","2021","0","0","0","0","0","0","0"
"Jakobi Meyers","2020","81","59","729","0","37","12","85"
"Jakobi Meyers","2019","41","26","359","0","17","14","35"
"Brandin Cooks","2021","0","0","0","0","0","0","0"
"Brandin Cooks","2020","119","81","1150","6","52","14","151"
"Brandin Cooks","2019","72","42","583","2","32","14","75"
"Brandin Cooks","2018","117","80","1204","5","56","15","162"
"Brandin Cooks","2017","114","65","1082","7","42","17","156"
"Brandin Cooks","2016","117","78","1173","8","45","15","168"
"Brandin Cooks","2015","129","84","1138","9","45","14","168"
"Brandin Cooks","2014","69","53","550","3","25","10","86"
"Stefon Diggs","2021","0","0","0","0","0","0","0"
"Stefon Diggs","2020","166","127","1535","8","73","12","201"
"Stefon Diggs","2019","94","63","1130","6","41","18","149"
"Stefon Diggs","2018","149","102","1021","9","49","10","164"
"Stefon Diggs","2017","95","64","849","8","42","13","133"
"Stefon Diggs","2016","111","84","903","3","47","11","109"
"Stefon Diggs","2015","85","52","720","4","31","14","97"
"Juju Smithschuster","2021","0","0","0","0","0","0","0"
"Juju Smithschuster","2020","128","97","831","9","48","9","137"
"Juju Smithschuster","2019","71","42","552","3","23","13","71"
"Juju Smithschuster","2018","166","111","1426","7","68","13","185"
"Juju Smithschuster","2017","80","58","917","7","39","16","133"
"Sterling Shepard","2021","0","0","0","0","0","0","0"
"Sterling Shepard","2020","90","66","656","3","37","10","95"
"Sterling Shepard","2019","83","57","576","3","29","10","84"
"Sterling Shepard","2018","107","66","872","4","47","13","116"
"Sterling Shepard","2017","84","59","731","2","36","12","85"
"Sterling Shepard","2016","105","65","683","8","42","11","119"
"Michael Pittman","2021","0","0","0","0","0","0","0"
"Michael Pittman","2020","61","40","503","1","22","13","58"
