"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG"
"Dk Metcalf","WR","7","#14 WR / Seattle Seahawks / EXP: 3YRS ","Seattle Seahawks","Height: 6-4 ","Weight: 235 lb ","Age: 23 ","College: Ole Miss ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/07/19/e990ebf5-7cd6-49f4-9e17-42c8deab198a/thumbnail/100x100/41ff973f03df71d835dcd9a94cf2f9b0/2260185.png"
"Justin Jefferson","WR","8","#18 WR / Minnesota Vikings / EXP: 2YRS ","Minnesota Vikings","Height: 6-1 ","Weight: 202 lb ","Age: 22 ","College: LSU ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/09/01/ef51a710-b440-4415-8ce8-f1b8b4f7e97d/thumbnail/100x100/20671574dcd0cefdcd9cdff1a99c0568/2871343.png"
"Terry Mclaurin","WR","11","#17 WR / Washington Football Team / EXP: 3YRS ","Washington Football Team","Height: 6-0 ","Weight: 210 lb ","Age: 25 ","College: Ohio State ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/09/04/99abb434-2ec7-4d89-9f01-05ceb3307c3e/thumbnail/100x100/93df2780e4195dee35d56a72c3128fe0/2139279.png"
"Marquez Callaway","WR","38","#12 WR / New Orleans Saints / EXP: 2YRS ","New Orleans Saints","Height: 6-2 ","Weight: 204 lb ","Age: 23 ","College: Tennessee ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/17/1d54d944-16ac-412d-b44b-566a0891986d/thumbnail/100x100/445b66f7829d4812b61e216cc85b160e/2247505.png"
"Marquise Brown","WR","43","#5 WR / Baltimore Ravens / EXP: 3YRS ","Baltimore Ravens","Height: 5-9 ","Weight: 180 lb ","Age: 24 ","College: Oklahoma ","Bye 8 ","https://sportshub.cbsistatic.com/i/r/2021/08/06/3022d243-0098-43b1-8e5e-f8313dcae689/thumbnail/100x100/90d4abef8bb51a7d3f1362daa09d6205/2804128.png"
"Devante Parker","WR","NR","#11 WR / Miami Dolphins / EXP: 7YRS ","Miami Dolphins","Height: 6-3 ","Weight: 219 lb ","Age: 28 ","College: Louisville ","Bye 14 ","https://sportshub.cbsistatic.com/i/r/2020/09/13/e3629eee-4493-4cbe-a728-a15434964fd2/thumbnail/100x100/f378f1e3aff07d38c5634f02b3606405/1851283.png"
"Mecole Hardman","WR","48","#17 WR / Kansas City Chiefs / EXP: 3YRS ","Kansas City Chiefs","Height: 5-10 ","Weight: 187 lb ","Age: 23 ","College: Georgia ","Bye 12 ","https://sportshub.cbsistatic.com/i/r/2020/09/10/33aa93cf-093f-4cbb-bc0a-049108de752f/thumbnail/100x100/004164c904ea9c3815660c7cc3c6acc9/2248618.png"
"Robby Anderson","WR","26","#11 WR / Carolina Panthers / EXP: 6YRS ","Carolina Panthers","Height: 6-3 ","Weight: 190 lb ","Age: 28 ","College: Temple ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2020/09/02/a9d7da28-305f-4cc3-b140-4c0c3219ad27/thumbnail/100x100/e5ca28f12796fcfe658c525b16dbf83d/1886746.png"
"Jamarr Chase","WR","22","#1 WR / Cincinnati Bengals / EXP: 0YRS ","Cincinnati Bengals","Height: 6-1 ","Weight: 200 lb ","Age: 21 ","College: LSU ","Bye 10 ","https://sportshub.cbsistatic.com/i/r/2021/06/25/401a035a-f726-4d03-98a7-a78b45a44568/thumbnail/100x100/8dca8bdd914c4d5d83ffbe1d93ea83f4/2966320.png"
"Tyler Lockett","WR","13","#16 WR / Seattle Seahawks / EXP: 7YRS ","Seattle Seahawks","Height: 5-10 ","Weight: 182 lb ","Age: 28 ","College: Kansas State ","Bye 9 ","https://sportshub.cbsistatic.com/i/r/2021/07/19/098d8bac-bcda-4cf4-be34-23f81910ec1d/thumbnail/100x100/2ce4168f4b48227e41d504652ca6bfc6/1860834.png"
"Corey Davis","WR","44","#84 WR / N.Y. Jets / EXP: 5YRS ","New York Jets ","Height: 6-3 ","Weight: 209 lb ","Age: 26 ","College: Western Michigan ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/496abfe8-b074-4553-a662-9025d7a82cc9/thumbnail/100x100/926b0725da72221cdbb63870df672d4f/2061005.png"
"Emmanuel Sanders","WR","59","#1 WR / Buffalo Bills / EXP: 12YRS ","Buffalo Bills","Height: 5-11 ","Weight: 180 lb ","Age: 34 ","College: SMU ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/16/027da1c9-87e8-474b-84e4-05e7d8ae6904/thumbnail/100x100/7d69c9b98b30b49d15684fb9147913a8/564943.png"
"Dj Moore","WR","25","#2 WR / Carolina Panthers / EXP: 4YRS ","Carolina Panthers","Height: 6-0 ","Weight: 210 lb ","Age: 24 ","College: Maryland ","Bye 13 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/ea553af8-94bd-4a95-a6bd-8e1a8bbafb23/thumbnail/100x100/e4eca870448d7730b021bb895afb1df9/2179328.png"
"Deebo Samuel","WR","56","#19 WR / San Francisco 49ers / EXP: 3YRS ","San Francisco 49ers","Height: 6-0 ","Weight: 215 lb ","Age: 25 ","College: South Carolina ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/b150a5fa-940c-4806-a1e8-0bd0887c7bea/thumbnail/100x100/3d266cb9869abcde242288c010c4d0f6/2139735.png"
"Calvin Ridley","WR","4","#18 WR / Atlanta Falcons / EXP: 4YRS ","Atlanta Falcons","Height: 6-1 ","Weight: 190 lb ","Age: 26 ","College: Alabama ","Bye 6 ","https://sportshub.cbsistatic.com/i/r/2020/09/08/ab866be2-e2c4-4370-abb1-7eb077831aef/thumbnail/100x100/38b133a8e29057d6a4df4e49b070e7e9/2186328.png"
"Mike Williams","WR","57","#81 WR / L.A. Chargers / EXP: 5YRS ","Los Angeles Chargers ","Height: 6-4 ","Weight: 218 lb ","Age: 26 ","College: Clemson ","Bye 7 ","https://sportshub.cbsistatic.com/i/r/2021/08/30/7ff1862f-c77d-4a76-bfc3-824969690064/thumbnail/100x100/6be08aeb4f297ac96f752d6761525cb7/2082516.png"
"Tyreek Hill","WR","1","#10 WR / Kansas City Chiefs / EXP: 6YRS ","Kansas City Chiefs","Height: 5-10 ","Weight: 185 lb ","Age: 27 ","College: West Alabama ","Bye 12 ","https://sportshub.cbsistatic.com/i/r/2020/09/10/5f4a3583-5cb8-479f-8c56-fa559c4a46ec/thumbnail/100x100/f19347136954d3a04c8db8faa904309c/2131163.png"
